AR,C0,C0_bootstrap_stderr,C0_ci95_high,C0_ci95_low,alpha,bootstrap_samples,case_dir,comparison_C_alpha,comparison_delta,comparison_ratio,denominator,f_tr_model_at_theta,frac_f_req_outside_0_1,mean_delta_Erot_model,mean_delta_Etr_model,mean_f_req,median_f_req,n_single_hit,n_total,n_used,numerator,single_hit_only,status,std_f_req,theta_used,trend,weight_mode,weighted_mean_delta_E
2.5,1.2674496112405749,0.0033301928356612135,1.2731835830666216,1.2611357512069294,0.5,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.50_r1.00_AR2.5,1.4767540856305483,-0.20930447438997346,0.8582672115644738,73908.98359303093,0.7604697667443449,0.2937129242438977,-0.46865899700551183,-1.0287352376745211,2.5144249184226277,0.636538345,82326,100000,82264,93675.91252217308,True,ok,96.30768110576383,1.0,both reservoirs cool,area,1.497394234680033
2.5,1.2182145820897794,0.003325316518961053,1.2238238492262012,1.211923289452765,0.55,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.55_r1.00_AR2.5,1.2500511278744553,-0.031836545784675874,0.9745318050799973,68327.97665537988,0.7309287492538676,0.2831923456968645,-0.47133007928123716,-0.9009491135018806,2.3853762037075894,0.635156065,83027,100000,82986,83238.13752627381,True,ok,97.75736908634153,1.0,both reservoirs cool,area,1.3722791927831177
2.5,1.1803782076597813,0.003106373555367309,1.1861276114576487,1.1739889900129512,0.6,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.60_r1.00_AR2.5,1.1477996625324358,0.03257854512734548,1.0283834768303262,62220.42873871562,0.7082269245958688,0.2727544552087071,-0.4557397083493534,-0.7845511009381244,2.2728721061582693,0.633488705,83655,100000,83610,73443.63815442829,True,ok,99.45894172363911,1.0,both reservoirs cool,area,1.240290809287478
2.5,1.14810513588118,0.0026503143130280522,1.1539007845713298,1.1434792072765763,0.65,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.65_r1.00_AR2.5,0.9753881024867604,0.17271703339441957,1.1770751898183667,55701.25534755628,0.688863081528708,0.2644886228682723,-0.4260407064016086,-0.6764654165766404,2.152906271786729,0.631661025,84242,100000,84204,63950.89733955841,True,ok,101.21956694227482,1.0,both reservoirs cool,area,1.1025061229782491
2.5,1.122958076844453,0.0023308405341922185,1.127397194958574,1.1184651760519673,0.7,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.70_r1.00_AR2.5,0.8627466135438825,0.26021146330057043,1.3016082117456322,48784.646726689214,0.6737748461066717,0.25636427981597265,-0.38593494284390445,-0.5732221238599062,1.954622003200424,0.629717845,84797,100000,84770,54783.11306773896,True,ok,101.74905465915018,1.0,both reservoirs cool,area,0.9591570667038107
2.5,1.1034008903705719,0.0021570813293417712,1.1073020579145523,1.0996040452274412,0.75,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.75_r1.00_AR2.5,0.7550322415867498,0.3483686487838221,1.4613957253688963,41518.70900249491,0.6620405342223431,0.2485192526477522,-0.33493123441005745,-0.4766690088135913,1.848021997191763,0.62763488,85277,100000,85261,45811.780480389556,True,ok,103.79529149012379,1.0,both reservoirs cool,area,0.8116002432236487
2.5,1.0872827893904748,0.0019034221948382487,1.0904072927333135,1.0832314871298805,0.8,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.80_r1.00_AR2.5,0.7090894479374718,0.3781933414530031,1.5333506831233408,33857.62724149342,0.6523696736342849,0.24072712847258684,-0.27995012595578606,-0.37844858985298546,1.663502949713332,0.62573676,85721,100000,85707,36812.81538927389,True,ok,105.6210935818211,1.0,both reservoirs cool,area,0.6583987158087714
2.5,1.0742226352764277,0.0018480404428931065,1.0784343003623005,1.0709822706184717,0.85,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.85_r1.00_AR2.5,0.5105368300684507,0.563685805207977,2.1041040959423047,25897.778640334014,0.6445335811658566,0.2334958217270195,-0.2177635762761925,-0.28319933459377844,1.5332282159310324,0.62404454,86171,100000,86160,27819.980018825183,True,ok,107.71884161229546,1.0,both reservoirs cool,area,0.5009629108699709
2.5,1.0629623781101045,0.0018625218339987696,1.0664806024814313,1.0591596551721008,0.9,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.90_r1.00_AR2.5,0.4040716883753747,0.6588906897347298,2.6306281996244025,17598.944927537515,0.6377774268660626,0.226633113622459,-0.15108041188535332,-0.18750799245071426,1.3548437327469558,0.6226894,86637,100000,86629,18707.01635240404,True,ok,108.18920514302864,1.0,both reservoirs cool,area,0.33858840433606757
2.5,1.0534797039018557,0.001897933849995948,1.0574514258086627,1.0501209171211359,0.95,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.95_r1.00_AR2.5,-0.3043989270182512,1.357878630920107,-3.460852225141684,8955.313804127567,0.6320878223411134,0.22160050554374677,-0.08075642417886997,-0.09073232180698951,0.8569927148416593,0.6207984,87039,100000,87035,9434.241334720511,True,ok,68.8245925228143,1.0,both reservoirs cool,area,0.17148874598585948
2.5,0.0,0.0,0.0,0.0,1.0,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_1.00_r1.00_AR2.5,,,,0.0,0.0,0.0,-0.003696076110370005,0.0024736539658735293,0.0,0.0,87462,100000,43766,0.0,True,elastic_alpha_by_convention,0.0,1.0,rotational reservoir cools faster,area,0.0012224221444964694
