AR,B_theta,C0,C0_bootstrap_stderr,C0_ci95_high,C0_ci95_low,alpha,bootstrap_samples,bracket_high,bracket_low,case_dir,comparison_C_alpha,comparison_C_mic,comparison_delta,comparison_delta_mic,comparison_ratio,estimator,gamma_factor,mean_A,mean_Erot_i,mean_Etr_i,mean_delta_E_closure,mean_epsilon_tr_f,mean_epsilon_tr_i,n_used,negative_due_to_exchange,residual,residual_high,residual_low,status,theta_used
2.0,0.5671855285885573,1.1738104224205017,,,,0.5,0,1.173810601234436,1.1738102436065674,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.50_r1.00_AR2.0,1.25,1.3452244820261319,-0.07618957757949829,-0.17141405960563016,0.9390483379364014,hcs-fixed-point,0.1501199624898093,0.05133854606659433,2.003394581777327,1.7500939612848487,0.5634735592904228,0.4821255816555,0.47251260664875155,20000,False,-4.707280676363723e-09,-1.0122897481368298e-07,9.181441346095554e-08,ok,0.873639193469232
2.0,0.5754661342063409,1.0923130214214325,,,,0.55,0,1.0923131108283997,1.0923129320144653,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.55_r1.00_AR2.0,1.1875,1.3033778037450416,-0.0951869785785675,-0.21106478232360915,0.9198425443548905,hcs-fixed-point,0.13786756607931358,0.02502990100636103,1.9913873833566729,1.8027735194089787,0.5230917289775915,0.4853690775101477,0.4796525189659063,20000,False,9.160947056496838e-09,-3.6065999575729535e-08,5.4387893716478786e-08,ok,0.9036831225553174
2.0,0.573707259459215,1.1999277621507645,,,,0.6,0,1.199927806854248,1.1999277174472809,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.60_r1.00_AR2.0,1.1797,1.2701827326488855,0.020227762150764494,-0.07025497049812102,1.0171465306016483,hcs-fixed-point,0.12814488443335856,0.05346066313792498,2.013148910467226,1.7869364099113227,0.48696149421681145,0.48565242602432007,0.4758608050519613,20000,False,9.451590454734315e-09,-1.1715582559634896e-08,3.0618763552370254e-08,ok,0.8972038928482547
2.0,0.5788960111831118,1.1269858926534653,,,,0.65,0,1.1269859373569489,1.1269858479499817,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.65_r1.00_AR2.0,1.15,1.2454036163097,-0.02301410734653464,-0.11841772365623471,0.9799877327421438,hcs-fixed-point,0.11433255676894002,0.030522716363655614,2.007586104351061,1.8313765290504442,0.43891841321721714,0.4861930963758776,0.48145205490051785,20000,False,8.877695828468646e-09,-1.0325758831308818e-08,2.808115054375726e-08,ok,0.9164735656063608
2.0,0.5841737919157683,1.054504469037056,,,,0.7,0,1.0545045137405396,1.0545044243335724,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.70_r1.00_AR2.0,1.083984375,1.2249830046011743,-0.02947990596294403,-0.1704785355641183,0.9728041227873381,hcs-fixed-point,0.10050571135944915,0.0115851763259739,2.0059799869717883,1.8749030158245092,0.390050906898837,0.4884493017270632,0.486793136344493,20000,False,4.621468874255186e-09,-1.2543921457108809e-08,2.178685926113033e-08,ok,0.9365672173592858
2.0,0.5897514262770662,0.9614712446928024,,,,0.75,0,0.961471289396286,0.9614711999893188,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.75_r1.00_AR2.0,0.9594,1.2086618382307124,0.0020712446928023986,-0.24719059353790995,1.0021588958649181,hcs-fixed-point,0.08597064158571079,-0.00788966623389921,1.9916293410604609,1.913996022831861,0.3357691183272481,0.48958386606296933,0.4930026270667563,20000,False,1.0298510655371018e-09,-1.38225957069249e-08,1.5882297782487953e-08,ok,0.9583643739455743
2.0,0.5902428042040715,1.0339581668376923,,,,0.8,0,1.0339582562446594,1.033958077430725,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.80_r1.00_AR2.0,0.925,1.196006459634915,0.10895816683769222,-0.16204829279722266,1.117792612797505,hcs-fixed-point,0.0681139417289993,0.005091065565891219,2.002305310165378,1.9042469501462005,0.2660906730201534,0.48848613187411466,0.490159214966146,20000,False,3.3452250969290276e-09,-2.0279377024867706e-08,2.696982723260355e-08,ok,0.9603130996598453
2.0,0.590675133806991,1.023200362920761,,,,0.85,0,1.0232004523277283,1.023200273513794,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.85_r1.00_AR2.0,0.859375,1.1845906480206734,0.1638253629207611,-0.16139028509991227,1.190633149580522,hcs-fixed-point,0.05297499869573265,0.0027378317630726797,2.00863875239157,1.9310212539020348,0.2087034836950338,0.4917740930317415,0.4943299881422744,20000,False,-6.415808606607953e-09,-2.499267173772246e-08,1.2161054524506554e-08,ok,0.9620315183889002
2.0,0.5966645536226948,0.5271396636962891,,,,0.9,0,0.5271453857421875,0.5271339416503906,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.90_r1.00_AR2.0,0.6063,1.1744638188381744,-0.07916033630371089,-0.6473241551418853,0.8694370174769737,hcs-fixed-point,0.03615612072021988,-0.04061186393506929,2.0053404161084862,1.9784085930243163,0.14403691009326194,0.48742945940931004,0.49664765239223324,20000,False,-8.204407778156231e-10,-8.240476829096677e-07,8.224068013262809e-07,ok,0.9862172359373832
2.0,0.596568922169997,0.45712220668792725,,,,0.95,0,0.4571225643157959,0.4571218490600586,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.95_r1.00_AR2.0,0.2375,1.1661002345676879,0.21962220668792726,-0.7089780278797606,1.9247250807912728,hcs-fixed-point,0.018405703322667666,-0.023533328372293383,1.98859322149105,1.959718353461494,0.07267145147403122,0.48961545855057975,0.4960423607969131,20000,False,-9.091072859790383e-09,-3.5073428730769685e-08,1.6891283018127812e-08,ok,0.9858254275283808
2.0,0.596568922169997,0.0,,,,1.0,,,,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_1.00_r1.00_AR2.0,0.0,0.0,0.0,0.0,nan,hcs-fixed-point,,,,,,,,0,,0.0,,,elastic_alpha_by_convention,0.9858254275283808
