AR,B_theta,C0,alpha,case_dir,comparison_C_alpha,comparison_C_mic,comparison_delta,comparison_ratio,estimator,gamma_factor,mean_Erot_i,mean_Etr_i,mean_epsilon_tr_f,mean_epsilon_tr_i,n_used,status,theta_bracket_high,theta_bracket_low,theta_pred,theta_residual,theta_residual_high,theta_residual_low,theta_scan_points,theta_used
2.5,0.5598478684014835,1.2674496112405749,0.5,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.50_r1.00_AR2.5,1.4767540856305483,1.2674496112405749,-0.20930447438997346,0.8582672115644738,hcs-self-consistent,0.1418750304717713,2.03399226486234,1.736893450493271,0.4796341440574084,0.46739683245344965,1000,ok,0.8479646102241847,0.847957710597826,0.8479611604110053,-0.06461182003954438,-0.06461680438528236,0.0023739784955268683,24,0.8479611604110053
2.5,0.5802782269552995,1.2182145820897794,0.55,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.55_r1.00_AR2.5,1.2500511278744553,1.2182145820897794,-0.031836545784675874,0.9745318050799973,hcs-self-consistent,0.1326451927498109,2.0441444296563307,1.8205877607688477,0.4867293164192554,0.4780074959956445,1000,ok,0.9217009171195651,0.9216733186141304,0.9216871178668478,6.5910344081154815e-06,-1.1613511313540714e-05,2.4795804621835504e-05,24,0.9216871178668478
2.5,0.566941777404796,1.1803782076597813,0.6,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.60_r1.00_AR2.5,1.1477996625324358,1.1803782076597813,0.03257854512734548,1.0283834768303262,hcs-self-consistent,0.12235596217093546,1.99962837940569,1.783746698968669,0.48644230915798037,0.4786540481836012,1000,ok,0.8727756666100543,0.8727687669836957,0.872772216796875,0.015442195474498988,-0.005720623814844977,0.01544718339369755,24,0.872772216796875
2.5,0.5744179123221753,1.14810513588118,0.65,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.65_r1.00_AR2.5,0.9753881024867604,1.14810513588118,0.17271703339441957,1.1770751898183667,hcs-self-consistent,0.1109399977966937,1.9941237282189304,1.7659326724389772,0.48333069889223496,0.47283596387445703,1000,ok,0.8998429008152173,0.8997877038043478,0.8998153023097826,-1.6885090398099933e-06,-3.876543908468144e-05,3.5389367288723994e-05,24,0.8998153023097826
2.5,0.5568633197009034,1.122958076844453,0.7,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.70_r1.00_AR2.5,0.8627466135438825,1.122958076844453,0.26021146330057043,1.3016082117456322,hcs-self-consistent,0.09915488811639912,1.9535652584221135,1.696598012712311,0.47709962179848203,0.4691484057139828,1000,ok,0.8377738620923914,0.8377462635869566,0.837760062839674,6.01842644101791e-06,-1.3228875853338318e-05,2.5266005540064418e-05,24,0.837760062839674
2.5,0.5568094566572522,1.1034008903705719,0.75,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.75_r1.00_AR2.5,0.7550322415867498,1.1034008903705719,0.3483686487838221,1.4613957253688963,hcs-self-consistent,0.08458547968496223,2.0297302479133026,1.7023221222687865,0.4664206471224387,0.463235142993721,1000,ok,0.8375806725543478,0.8375737729279891,0.8375772227411684,0.008770419519422451,-0.012851630278037929,0.008775376472110519,24,0.8375772227411684
2.5,0.591125773972624,1.0872827893904748,0.8,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.80_r1.00_AR2.5,0.7090894479374718,1.0872827893904748,0.3781933414530031,1.5333506831233408,hcs-self-consistent,0.06969862105908822,2.028486405935498,1.930575040531982,0.4936897968460694,0.4909398090397979,1000,ok,0.963830035665761,0.9638231360394023,0.9638265858525816,0.0233538206679878,-0.04775996525003333,0.023358110694839576,24,0.9638265858525816
2.5,0.5878082322516497,1.0742226352764277,0.85,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.85_r1.00_AR2.5,0.5105368300684507,1.0742226352764277,0.563685805207977,2.1041040959423047,hcs-self-consistent,0.05412765816284293,1.9970511147705798,1.8685981352837624,0.4839317220038317,0.48709439386965286,1000,ok,0.9507069463315219,0.9507000467051632,0.9507034965183425,0.0034612745142513918,-0.013573928602955698,0.0034655366584155356,24,0.9507034965183425
2.5,0.592030392886948,1.0629623781101045,0.9,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.90_r1.00_AR2.5,0.4040716883753747,1.0629623781101045,0.6588906897347298,2.6306281996244025,hcs-self-consistent,0.037214461274041356,2.0109251835397894,1.9229098052360765,0.4894244726507212,0.4891002344208905,1000,ok,0.9674454398777173,0.9674385402513586,0.9674419900645379,0.014554597571581104,-0.014908122583959987,0.01455876814466938,24,0.9674419900645379
2.5,0.5874500887651442,1.0534797039018557,0.95,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.95_r1.00_AR2.5,-0.3043989270182512,1.0534797039018557,1.357878630920107,-3.460852225141684,hcs-self-consistent,0.01919642152937458,1.9711662599703277,1.9079771027556132,0.4945711729067705,0.4944163097154268,1000,ok,0.9493546195652174,0.9492442255434783,0.9492994225543478,-7.860274021474073e-06,-7.714354653884717e-05,6.142629891176671e-05,24,0.9492994225543478
2.5,nan,0.0,1.0,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_1.00_r1.00_AR2.5,,0.0,,,hcs-self-consistent,,,,,,0,elastic_alpha_by_convention,,,nan,,,,,nan
