AR,B_theta,C0,alpha,case_dir,comparison_C_alpha,comparison_C_mic,comparison_delta,comparison_ratio,estimator,gamma_factor,mean_Erot_i,mean_Etr_i,mean_epsilon_tr_f,mean_epsilon_tr_i,n_used,status,theta_bracket_high,theta_bracket_low,theta_pred,theta_residual,theta_residual_high,theta_residual_low,theta_scan_points,theta_used
2.0,0.5497149601968323,1.3452244820261319,0.5,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.50_r1.00_AR2.0,1.25,1.3452244820261319,0.09522448202613187,1.0761795856209055,hcs-self-consistent,0.1501199624898093,2.03399226486234,1.6670782903417665,0.4819027688740727,0.45918413579264705,1000,ok,0.8138804560122281,0.8138735563858694,0.8138770061990488,-0.003977705547766164,-0.003983228543073092,0.017521204084264608,24,0.8138770061990488
2.0,0.5730007796493226,1.3033778037450416,0.55,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.55_r1.00_AR2.0,1.1875,1.3033778037450416,0.11587780374504164,1.097581308416877,hcs-self-consistent,0.13786756607931358,2.0441444296563307,1.7671156496325877,0.48694640841045855,0.4721556423856495,1000,ok,0.8946198836616848,0.8946129840353261,0.8946164338485054,-0.015902836818524335,-0.01590758880139151,0.002877771867319412,24,0.8946164338485054
2.0,0.5623023057612816,1.2701827326488855,0.6,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.60_r1.00_AR2.0,1.1797,1.2701827326488855,0.09048273264888551,1.0766997818503734,hcs-self-consistent,0.12814488443335856,1.99962837940569,1.7503972250528637,0.4900151496110481,0.4748703250061465,1000,ok,0.8564580502717392,0.8564511506453805,0.8564546004585598,0.009937809914294715,-0.0009538023096199166,0.009942853846790639,24,0.8564546004585598
2.0,0.5715114808797551,1.2454036163097,0.65,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.65_r1.00_AR2.0,1.15,1.2454036163097,0.09540361630970007,1.0829596663562608,hcs-self-consistent,0.11433255676894002,1.9941237282189304,1.7450797436233922,0.4859991705599242,0.4704635684578377,1000,ok,0.8893002717391305,0.8890794836956523,0.8891898777173914,-1.4291592294324307e-06,-0.0001492008810280998,0.00014635805659737877,24,0.8891898777173914
2.0,0.5552765123799184,1.2249830046011743,0.7,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.70_r1.00_AR2.0,1.083984375,1.2249830046011743,0.14099862960117426,1.1300744114518941,hcs-self-consistent,0.10050571135944915,1.9535652584221135,1.6857271385005261,0.47862437670212216,0.46787862025107574,1000,ok,0.8324473505434782,0.8323369565217391,0.8323921535326086,5.564202228164339e-06,-7.472500125735304e-05,8.585808283639862e-05,24,0.8323921535326086
2.0,0.5567687966324346,1.2086618382307124,0.75,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.75_r1.00_AR2.0,0.9594,1.2086618382307124,0.24926183823071235,1.259810129487922,hcs-self-consistent,0.08597064158571079,2.0297302479133026,1.7020416612852045,0.4665550850035693,0.46320214531973736,1000,ok,0.8374426800271739,0.8374357804008152,0.8374392302139946,0.029474344449825496,-0.04596474320298584,0.02947948046015228,24,0.8374392302139946
2.0,0.5876287982900742,1.196006459634915,0.8,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.80_r1.00_AR2.0,0.925,1.196006459634915,0.2710064596349149,1.29297995636207,hcs-self-consistent,0.0681139417289993,2.028486405935498,1.9028794215775355,0.497534144895321,0.4880843829460241,1000,ok,0.9500031844429346,0.9499962848165759,0.9499997346297553,0.024517206467986122,-0.03368186385692187,0.02452148539354282,24,0.9499997346297553
2.0,0.5822444350964916,1.1845906480206734,0.85,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.85_r1.00_AR2.0,0.859375,1.1845906480206734,0.3252156480206734,1.37843275406042,hcs-self-consistent,0.05297499869573265,1.9970511147705798,1.8262602373764714,0.49058972368733644,0.48249864031865436,1000,ok,0.9291663128396739,0.9291594132133152,0.9291628630264945,-0.0013722959941581403,-0.0013766271140959602,0.0429826280733753,24,0.9291628630264945
2.0,0.5969082018738647,1.1744638188381744,0.9,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.90_r1.00_AR2.0,0.6063,1.1744638188381744,0.5681638188381745,1.9371001465251105,hcs-self-consistent,0.03615612072021988,2.0109251835397894,1.962213713680725,0.49996881750213396,0.4931622002482361,1000,ok,0.9872197690217392,0.9872128693953806,0.9872163192085599,0.015245950195487724,-0.009284201318580765,0.015249901564674616,24,0.9872163192085599
2.0,0.5923333369935113,1.1661002345676879,0.95,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.95_r1.00_AR2.0,0.2375,1.1661002345676879,0.9286002345676878,4.909895724495528,hcs-self-consistent,0.018405703322667666,1.9711662599703277,1.946882135709933,0.4961930011616171,0.4984673813130546,1000,ok,0.9686597741168477,0.968652874490489,0.9686563243036683,-0.012239664412926069,-0.01224374785044981,0.005057817587296745,24,0.9686563243036683
2.0,nan,0.0,1.0,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_1.00_r1.00_AR2.0,0.0,0.0,0.0,nan,hcs-self-consistent,,,,,,0,elastic_alpha_by_convention,,,nan,,,,,nan
