AR,C0,C0_bootstrap_stderr,C0_ci95_high,C0_ci95_low,alpha,bootstrap_samples,case_dir,comparison_C_alpha,comparison_delta,comparison_ratio,denominator,f_tr_model_at_theta,frac_f_req_outside_0_1,mean_delta_Erot_model,mean_delta_Etr_model,mean_f_req,median_f_req,n_single_hit,n_total,n_used,numerator,single_hit_only,status,std_f_req,theta_used,trend,weight_mode,weighted_mean_delta_E
2.0,1.3452244820261319,0.0029805433251352087,1.3504664638034583,1.3383425079937046,0.5,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.50_r1.00_AR2.0,1.25,0.09522448202613187,1.0761795856209055,79002.1963303243,0.8071346892156791,0.3087554354213186,-0.415577023028877,-1.1318472009364204,1.928274741273907,0.716298335,85131,100000,85090,106275.68863738727,True,ok,86.64294191276942,1.0,both reservoirs cool,area,1.5474242239652976
2.0,1.3033778037450416,0.0025389706363373584,1.3077899021809063,1.2982204435651568,0.55,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.55_r1.00_AR2.0,1.1875,0.11587780374504164,1.097581308416877,73196.50631820831,0.782026682247025,0.2983749781583086,-0.4170419892382403,-1.004056236599186,1.8281486899886346,0.71418871,85874,100000,85845,95402.70164683642,True,ok,87.97629811949697,1.0,both reservoirs cool,area,1.4210982258374263
2.0,1.2701827326488855,0.002194442513933258,1.2738462764141492,1.2657217410354067,0.6,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.60_r1.00_AR2.0,1.1797,0.09048273264888551,1.0766997818503734,66820.7277483522,0.7621096395893313,0.28897725171074534,-0.40204311125356784,-0.8852682395484831,1.7133619673198937,0.712199075,86533,100000,86512,84874.53456898921,True,ok,89.31146823511672,1.0,both reservoirs cool,area,1.287311350802051
2.0,1.2454036163097,0.0023056326634914447,1.2495345839038967,1.2406274508784316,0.65,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.65_r1.00_AR2.0,1.15,0.09540361630970007,1.0829596663562608,59941.78890212608,0.7472421697858199,0.2795006087336044,-0.3742441421948131,-0.7731955185630429,1.6007593803701696,0.710132245,87091,100000,87066,74651.72066678046,True,ok,90.53153065616826,1.0,both reservoirs cool,area,1.1474396607578556
2.0,1.2249830046011743,0.001979305551031267,1.2286387944986075,1.221473422113768,0.7,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.70_r1.00_AR2.0,1.083984375,0.14099862960117426,1.1300744114518941,52627.203987409885,0.7349898027607046,0.2708906415861022,-0.3360458867600133,-0.6651070123700404,1.5249783256417668,0.70757451,87631,100000,87611,64467.430464256264,True,ok,91.95499801655359,1.0,both reservoirs cool,area,1.0011528991300538
2.0,1.2086618382307124,0.0017024001100205347,1.2118551301189862,1.2058508732326658,0.75,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.75_r1.00_AR2.0,0.9594,0.24926183823071235,1.259810129487922,44889.46072635958,0.7251971029384274,0.2627501247788012,-0.29101620268151773,-0.5576585089350028,1.41148166030196,0.705511285,88175,100000,88156,54256.17811870715,True,ok,92.98550778434631,1.0,both reservoirs cool,area,0.8486747116165205
2.0,1.196006459634915,0.0016914966652507625,1.1996135190199515,1.1929028690424004,0.8,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.80_r1.00_AR2.0,0.925,0.2710064596349149,1.29297995636207,36694.56953753561,0.717603875780949,0.25544587963224097,-0.24292560610233324,-0.44699053012523376,1.3450553743820257,0.70359423,88659,100000,88645,43886.94220041516,True,ok,94.24145223484551,1.0,both reservoirs cool,area,0.6899161362275671
2.0,1.1845906480206734,0.0018458719681070815,1.1876678256865432,1.1809302646284714,0.85,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.85_r1.00_AR2.0,0.859375,0.3252156480206734,1.37843275406042,28130.62790875884,0.710754388812404,0.24791923724060572,-0.18705683496875905,-0.3388475940601967,1.2448096012667775,0.7015652,89164,100000,89150,33323.278743665076,True,ok,95.2343282002961,1.0,both reservoirs cool,area,0.5259044290289557
2.0,1.1744638188381744,0.0017644845806046006,1.1777657684278975,1.1712292375330096,0.9,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.90_r1.00_AR2.0,0.6063,0.5681638188381745,1.9371001465251105,19145.264339336332,0.7046782913029046,0.24101413857364445,-0.127040397972129,-0.2290326483369321,1.1011904353294357,0.699634,89617,100000,89613,22485.42026864327,True,ok,95.23180608582393,1.0,both reservoirs cool,area,0.35607304630906106
2.0,1.1661002345676879,0.0016509810709261314,1.1690377560427268,1.1631533310106987,0.95,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.95_r1.00_AR2.0,0.2375,0.9286002345676878,4.909895724495528,9766.139430061878,0.6996601407406127,0.23421602168214334,-0.06463177734037928,-0.11616640822525727,0.6902703179495765,0.69807318,90031,100000,90028,11388.2974802159,True,ok,0.6800497467575581,1.0,both reservoirs cool,area,0.18079818556563657
2.0,0.0,0.0,0.0,0.0,1.0,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_1.00_r1.00_AR2.0,0.0,0.0,nan,0.0,0.0,0.0,-0.0005320893256978785,-0.000541202671009765,0.0,0.0,90464,100000,45456,0.0,True,elastic_alpha_by_convention,0.0,1.0,both reservoirs cool,area,0.001073291996707643
