AR,C0,C0_bootstrap_stderr,C0_ci95_high,C0_ci95_low,alpha,bootstrap_samples,case_dir,comparison_C_alpha,comparison_delta,comparison_ratio,denominator,f_tr_model_at_theta,frac_f_req_outside_0_1,mean_delta_Erot_model,mean_delta_Etr_model,mean_f_req,median_f_req,n_single_hit,n_total,n_used,numerator,single_hit_only,status,std_f_req,theta_used,trend,weight_mode,weighted_mean_delta_E
1.5,1.5093283536114106,0.0022667198957982836,1.5131676938400462,1.505154174510395,0.5,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.50_r1.00_AR1.5,2.5681761207137774,-1.0588477671023668,0.5877043795547482,86080.9221543385,0.9055970121668463,0.36901173814403615,-0.231883160225497,-1.3405262126503392,1.5450393266561833,0.85561662,91258,100000,91241,129924.37651255974,True,ok,24.475810699815487,1.0,both reservoirs cool,area,1.5724093728758366
1.5,1.4812042276573103,0.0020569684716852084,1.485738030029939,1.4775850479027692,0.55,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.55_r1.00_AR1.5,2.1314740264114036,-0.6502697987540933,0.6949201394450479,79899.34133458059,0.8887225365943862,0.3613829590359347,-0.23396411098147415,-1.2156779448525323,1.4580832144606113,0.85375125,91872,100000,91861,118347.24217181525,True,ok,24.235225156967296,1.0,both reservoirs cool,area,1.4496420558340064
1.5,1.4601490478111951,0.0018423079179062662,1.4636683214614694,1.4563803448652044,0.6,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.60_r1.00_AR1.5,1.882724642495667,-0.4225755946844718,0.7755510364360442,73179.58415165878,0.876089428686717,0.35380037868542064,-0.22701191193439887,-1.0926091168575727,1.3854286717772573,0.85189858,92438,100000,92425,106853.1001182638,True,ok,24.099756170366767,1.0,both reservoirs cool,area,1.3196210287919716
1.5,1.4445782633668778,0.0017009647200324416,1.447780530496733,1.4412061669289786,0.65,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.65_r1.00_AR1.5,1.6711231156253243,-0.22654485225844656,0.864435570222081,65869.50826089982,0.8667469580201267,0.34648508989126925,-0.21095614840497737,-0.9708988819337714,1.3062635056730982,0.849626705,92906,100000,92890,95153.65985236087,True,ok,23.164851255994538,1.0,both reservoirs cool,area,1.181855030338749
1.5,1.4319261544645283,0.0015500990857545741,1.4347883597585498,1.4287468094221352,0.7,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.70_r1.00_AR1.5,1.5421375860063524,-0.11021143154182411,0.9285333341577927,57946.5047255504,0.8591556926787169,0.33960283627171656,-0.19050466570819397,-0.8439366259941835,1.2430528354578851,0.84805669,93368,100000,93362,82975.115676318,True,ok,22.996945514598405,1.0,both reservoirs cool,area,1.0344412917023773
1.5,1.421650020330252,0.0016193398552894155,1.4245544099821426,1.4185966429927854,0.75,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.75_r1.00_AR1.5,1.4718587222065966,-0.05020870187634463,0.9658875535275069,49546.41302828414,0.8529900121981512,0.3325906420903383,-0.1651413710823963,-0.715186070973191,1.1995124758503821,0.84623498,93811,100000,93803,70437.65908895122,True,ok,22.830258512945605,1.0,both reservoirs cool,area,0.8803274420555871
1.5,1.4124472858880182,0.001511070629694328,1.4153738859710148,1.4096426741220378,0.8,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.80_r1.00_AR1.5,1.3834437226407261,0.02900356324729203,1.020964758285888,40634.82199748076,0.8474683715328108,0.32591845402420894,-0.13667530806800207,-0.5824232620013822,1.0915181720808675,0.8448225899999999,94185,100000,94180,57394.54404288443,True,ok,19.986235378968704,1.0,both reservoirs cool,area,0.7190985700693842
1.5,1.404815601419058,0.0014805805256230904,1.407154978918688,1.4014356967583177,0.85,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.85_r1.00_AR1.5,1.2633701138575457,0.14144548756151232,1.1119588678013175,31207.7969711445,0.8428893608514348,0.3196212241443157,-0.10642568484619347,-0.443889026595456,0.9768654816724425,0.84352779,94518,100000,94515,43841.20007098222,True,ok,15.310194174059749,1.0,both reservoirs cool,area,0.5503147114416495
1.5,1.3979977588755108,0.0014900021809702462,1.4007536453639835,1.3953715834256468,0.9,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.90_r1.00_AR1.5,1.1196734869471359,0.27832427192837494,1.2485762815436887,21281.87767931629,0.8387986553253065,0.313081796809935,-0.07309839935735796,-0.30083073747169864,0.893644999088164,0.84208713,94863,100000,94857,29752.01730034693,True,ok,12.56181772834988,1.0,both reservoirs cool,area,0.3739291368290566
1.5,1.3920246923319524,0.0013689779149570528,1.3945022410679275,1.3887349982241342,0.95,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_0.95_r1.00_AR1.5,1.0547749609427612,0.3372497313891911,1.3197361938585992,10888.42463563587,0.8352148153991714,0.3077561395768996,-0.03662242286655146,-0.15399725311427304,0.8357112396431826,0.841185805,95204,100000,95202,15156.955953400673,True,ok,0.529731843898947,1.0,both reservoirs cool,area,0.19061967598082447
1.5,0.0,0.0,0.0,0.0,1.0,200,/home/muhammed/Documents/Thesis/Coll_Models/results/alpha_1.00_r1.00_AR1.5,,,,0.0,0.0,0.0,-0.001846873274877063,0.000981490460894196,0.0,0.0,95503,100000,47673,0.0,True,elastic_alpha_by_convention,0.0,1.0,rotational reservoir cools faster,area,0.0008653828139828693
